archetype_id,archetype_name,representative_deck_hash,representative_deck_list,exact_deck_count,games,usage_share,wins,losses,win_rate,early_share,middle_share,recent_share,early_win_rate,middle_win_rate,recent_win_rate
UNLABELED_CLUSTER_36,Team Rocket's Articuno / Team Rocket's Honchkrow / Team Rocket's Murkrow / Team Rocket's Porygon / Team Rocket's Porygon2,05e63c3f2a7ecec1,Ignition Energy x4; Miracle Headset x1; Night Stretcher x2; Poké Pad x4; Pokégear 3.0 x2; Roto-Stick x3; Team Rocket's Archer x3; Team Rocket's Ariana x4; Team Rocket's Articuno x1; Team Rocket's Energy x4; Team Rocket's Factory x3; Team Rocket's Giovanni x4; Team Rocket's Honchkrow x4; Team Rocket's Murkrow x4; Team Rocket's Petrel x4; Team Rocket's Porygon x2; Team Rocket's Porygon2 x2; Team Rocket's Proton x4; Team Rocket's Transceiver x4; Tool Scrapper x1,3,3,0.043,2,1,0.6667,0.3006,0.0,0.0,0.6667,,
UNLABELED_CLUSTER_37,Barbaracle / Binacle / Lunatone / Okidogi / Solrock,d5e2e6b068b45bf0,Air Balloon x2; Barbaracle x2; Basic {F} Energy x9; Binacle x2; Boss’s Orders x3; Fighting Gong x4; Judge x4; Legacy Energy x1; Lillie's Determination x4; Lunatone x2; Night Stretcher x3; Okidogi x4; Poké Pad x4; Pokégear 3.0 x2; Prism Energy x4; Solrock x3; Tarragon x2; Team Rocket's Watchtower x3; Tool Scrapper x2,1,2,0.0286,1,1,0.5,0.2004,0.0,0.0,0.5,,
UNLABELED_CLUSTER_38,Mega Starmie ex / Meowth ex,7e126a3431e21d4d,Basic {D} Energy x3; Basic {W} Energy x5; Boss’s Orders x3; Buddy-Buddy Poffin x4; Budew x1; Dusclops x2; Dusknoir x1; Duskull x2; Hero’s Cape x1; Hilda x4; Ignition Energy x2; Lillie's Determination x4; Mega Starmie ex x3; Meowth ex x1; Munkidori x2; Poké Pad x4; Pokégear 3.0 x3; Risky Ruins x4; Staryu x4; Ultra Ball x4; Wally's Compassion x2; Xerosic’s Machinations x1,1,2,0.0286,1,1,0.5,0.2004,0.0,0.0,0.5,,
UNLABELED_CLUSTER_39,Hop's Phantump / Hop's Trevenant / Hop’s Cramorant / Hop’s Dubwool / Hop’s Snorlax / Hop’s Wooloo / Shaymin,a75a8d5778834ad9,Air Balloon x1; Boss’s Orders x3; Hassel x2; Hop's Phantump x4; Hop's Trevenant x4; Hop’s Bag x2; Hop’s Choice Band x4; Hop’s Cramorant x1; Hop’s Dubwool x1; Hop’s Snorlax x2; Hop’s Wooloo x1; Lillie's Determination x4; Mist Energy x4; Night Stretcher x3; Poké Pad x4; Pokégear 3.0 x3; Postwick x4; Ruffian x1; Secret Box x1; Shaymin x1; Switch x1; Team Rocket's Petrel x4; Telepath Psychic Energy x4; Ultra Ball x1,1,2,0.0286,1,1,0.5,0.2004,0.0,0.0,0.5,,
UNLABELED_CLUSTER_40,Cubchoo / Dudunsparce / Dunsparce / Fan Rotom,e6c8c8b46da53cae,Accompanying Flute x1; Basic {W} Energy x6; Boss’s Orders x2; Buddy-Buddy Poffin x4; Crushing Hammer x4; Cubchoo x4; Dudunsparce x2; Dunsparce x3; Dusk Ball x2; Energy Search x4; Enhanced Hammer x4; Eri x1; Fan Rotom x1; Gravity Gemstone x2; Lillie's Determination x4; Neutralization Zone x1; Night Stretcher x4; Nighttime Mine x4; Poké Pad x4; Tool Scrapper x1; Xerosic’s Machinations x2,1,2,0.0286,1,1,0.5,0.2004,0.0,0.0,0.5,,
UNLABELED_CLUSTER_41,Applin / Dipplin / Grookey / Thwackey,47e257e33ef5f5a6,Air Balloon x1; Applin x4; Basic {G} Energy x7; Brave Bangle x1; Buddy-Buddy Poffin x4; Bug Catching Set x4; Dawn x1; Dipplin x4; Festival Grounds x4; Grookey x4; Judge x4; Lana’s Aid x1; Lillie's Determination x4; Night Stretcher x2; Poké Pad x4; Pokégear 3.0 x4; Sacred Ash x1; Switch x2; Thwackey x3; Unfair Stamp x1,1,2,0.0286,0,2,0.0,0.0,0.0,0.0501,,,0.0
UNLABELED_CLUSTER_42,Crustle / Dwebble / Ethan's Cyndaquil / Ethan's Quilava / Ethan's Typhlosion / Team Rocket's Articuno,55a418e3d6a8787d,Basic {G} Energy x4; Basic {R} Energy x7; Boss’s Orders x4; Buddy-Buddy Poffin x3; Crustle x4; Dwebble x4; Ethan's Adventure x4; Ethan's Cyndaquil x4; Ethan's Quilava x4; Ethan's Typhlosion x4; Grow Grass Energy x4; Hero’s Cape x1; Jumbo Ice Cream x1; Lillie's Determination x4; Poké Pad x4; Rare Candy x2; Team Rocket's Articuno x1; Ultra Ball x1,1,2,0.0286,1,1,0.5,0.0,0.0,0.0501,,,0.5
UNLABELED_CLUSTER_43,Cornerstone Mask Ogerpon ex / Mega Starmie ex,975a7d1f164387d5,Basic {F} Energy x1; Basic {W} Energy x8; Boss’s Orders x1; Buddy-Buddy Poffin x4; Cinderace x4; Cornerstone Mask Ogerpon ex x1; Crushing Hammer x2; Harlequin x2; Hero’s Cape x1; Hilda x2; Ignition Energy x4; Lillie's Determination x4; Mega Signal x4; Mega Starmie ex x3; Night Stretcher x2; Pokégear 3.0 x4; Salvatore x4; Staryu x3; Ultra Ball x1; Wally's Compassion x4; Xerosic’s Machinations x1,1,2,0.0286,0,2,0.0,0.0,0.1003,0.0,,0.0,
UNLABELED_CLUSTER_44,Brambleghast / Bramblin / Comfey / Rabsca / Rellor / Team Rocket's Articuno,2dc0367808ff9740,Basic {P} Energy x4; Battle Cage x2; Brambleghast x3; Bramblin x3; Buddy-Buddy Poffin x4; Comfey x4; Crushing Hammer x4; Handheld Fan x2; Hilda x4; Lillie's Determination x4; Neutralization Zone x1; Night Stretcher x4; Poké Pad x4; Rabsca x1; Rellor x1; Sacred Ash x2; Strange Timepiece x2; Switch x2; Team Rocket's Articuno x1; Telepath Psychic Energy x4; Xerosic’s Machinations x4,1,2,0.0286,0,2,0.0,0.0,0.0,0.0501,,,0.0
UNLABELED_CLUSTER_45,Applin / Dipplin / Goldeen / Grookey / Psyduck / Rillaboom / Seaking / Shaymin / Thwackey,cc30dfc61693132d,Air Balloon x1; Applin x4; Basic {G} Energy x3; Black Belt’s Training x1; Boss’s Orders x2; Brave Bangle x2; Buddy-Buddy Poffin x4; Bug Catching Set x3; Dawn x1; Dipplin x3; Festival Grounds x4; Goldeen x2; Grookey x4; Grow Grass Energy x2; Judge x1; Kieran x2; Lana’s Aid x1; Lillie's Determination x4; Night Stretcher x1; Poké Pad x4; Psyduck x1; Rillaboom x1; Sacred Ash x1; Seaking x1; Shaymin x1; Switch x1; Thwackey x4; Unfair Stamp x1,1,2,0.0286,2,0,1.0,0.0,0.0,0.0501,,,1.0
UNLABELED_CLUSTER_46,Applin / Dipplin / Grookey / Thwackey / Volbeat,cd20dc40ab299bd9,Applin x3; Applin x1; Basic {G} Energy x8; Black Belt’s Training x1; Boss’s Orders x2; Brave Bangle x1; Brock’s Scouting x1; Buddy-Buddy Poffin x4; Bug Catching Set x4; Dipplin x4; Festival Grounds x4; Grookey x4; Hilda x4; Lillie's Determination x4; Night Stretcher x2; Poké Pad x4; Sacred Ash x1; Thwackey x4; Unfair Stamp x1; Volbeat x3,1,2,0.0286,1,1,0.5,0.0,0.0,0.0501,,,0.5
UNLABELED_CLUSTER_47,Abra / Alakazam / Dudunsparce / Dunsparce / Fan Rotom / Kadabra / Shaymin / Togekiss / Togepi,1780347646b3b151,Abra x4; Alakazam x4; Basic {P} Energy x2; Battle Cage x4; Boss’s Orders x2; Buddy-Buddy Poffin x4; Cheren x1; Dawn x3; Dudunsparce x4; Dunsparce x4; Enhanced Hammer x2; Enriching Energy x1; Fan Rotom x1; Hilda x3; Kadabra x3; Night Stretcher x2; Poké Pad x4; Rare Candy x4; Sacred Ash x1; Shaymin x1; Telepath Psychic Energy x3; Togekiss x1; Togepi x1; Wondrous Patch x1,2,2,0.0286,2,0,1.0,0.2004,0.0,0.0,1.0,,
UNLABELED_CLUSTER_48,Crustle / Dwebble / Munkidori,7b8dec20710c5b73,Basic {G} Energy x11; Boss’s Orders x2; Buddy-Buddy Poffin x4; Cheren x2; Cook x4; Crustle x4; Dwebble x4; Grow Grass Energy x4; Hero’s Cape x1; Jumbo Ice Cream x2; Lillie's Determination x4; Mist Energy x4; Munkidori x2; Pokégear 3.0 x4; Spiky Energy x4; Ultra Ball x2; Waitress x2,2,2,0.0286,2,0,1.0,0.2004,0.0,0.0,1.0,,
UNLABELED_CLUSTER_49,Abra / Alakazam / Dudunsparce / Dunsparce / Genesect / Kadabra / Psyduck / Shaymin,2c9b6cbbab859256,Abra x4; Alakazam x1; Alakazam x3; Basic {P} Energy x1; Battle Cage x4; Boss’s Orders x3; Buddy-Buddy Poffin x4; Dawn x4; Dudunsparce x3; Dunsparce x4; Enriching Energy x1; Genesect x1; Handheld Fan x2; Hilda x3; Kadabra x4; Lana’s Aid x1; Lucky Helmet x1; Night Stretcher x1; Poké Pad x4; Psyduck x1; Rare Candy x3; Sacred Ash x1; Shaymin x1; Telepath Psychic Energy x4; Wondrous Patch x1,2,2,0.0286,1,1,0.5,0.2004,0.0,0.0,0.5,,
UNLABELED_CLUSTER_50,Cubchoo / Munkidori,ed8af32e00d56c9a,Basic {D} Energy x3; Basic {W} Energy x6; Battle Cage x3; Boss’s Orders x2; Buddy-Buddy Poffin x1; Colress’s Tenacity x1; Crushing Hammer x3; Cubchoo x4; Energy Search x3; Enhanced Hammer x4; Gravity Gemstone x3; Lana’s Aid x2; Lillie's Determination x4; Munkidori x3; Neutralization Zone x1; Night Stretcher x1; Poké Pad x4; Pokégear 3.0 x4; Team Rocket's Petrel x4; Tool Scrapper x2; Xerosic’s Machinations x2,2,2,0.0286,0,2,0.0,0.0,0.1003,0.0,,0.0,
UNLABELED_CLUSTER_51,Applin / Dipplin / Grookey / Shaymin / Swirlix / Thwackey,72425533dadc98a1,Applin x4; Basic {G} Energy x6; Boss’s Orders x1; Brave Bangle x3; Buddy-Buddy Poffin x4; Bug Catching Set x4; Dipplin x4; Festival Grounds x4; Grookey x4; Lillie's Determination x4; Night Stretcher x4; Poké Pad x4; Pokégear 3.0 x2; Shaymin x1; Swirlix x4; Thwackey x4; Unfair Stamp x1; Xerosic’s Machinations x2,1,1,0.0143,1,0,1.0,0.1002,0.0,0.0,1.0,,
UNLABELED_CLUSTER_52,Crustle / Dwebble / Volcanion,9c9bdd6f955942f8,Basic {G} Energy x12; Basic {R} Energy x7; Buddy-Buddy Poffin x4; Cook x2; Crustle x4; Dwebble x4; Grow Grass Energy x4; Hero’s Cape x1; Jumbo Ice Cream x3; Lillie's Determination x4; Mist Energy x2; Poké Pad x4; Spiky Energy x2; Volcanion x3; Waitress x4,1,1,0.0143,0,1,0.0,0.1002,0.0,0.0,0.0,,
UNLABELED_CLUSTER_53,Pikachu ex,f52b72943cdb12d7,Air Balloon x2; Azumarill x4; Basic {D} Energy x3; Basic {P} Energy x7; Boss’s Orders x3; Brock’s Scouting x4; Crispin x2; Dusk Ball x4; Hilda x4; Legacy Energy x1; Lillie's Determination x4; Marill x4; Munkidori x3; Night Stretcher x4; Pikachu ex x3; Poké Pad x4; Telepath Psychic Energy x4,1,1,0.0143,0,1,0.0,0.1002,0.0,0.0,0.0,,
UNLABELED_CLUSTER_54,Abra / Alakazam / Dudunsparce / Dunsparce / Elgyem / Kadabra,79181fc7b7433c70,Abra x4; Alakazam x4; Basic {P} Energy x2; Boss’s Orders x2; Buddy-Buddy Poffin x4; Dawn x4; Dudunsparce x3; Dunsparce x4; Elgyem x1; Enhanced Hammer x4; Enriching Energy x1; Hilda x3; Kadabra x4; Lucky Helmet x1; Night Stretcher x1; Nighttime Mine x3; Poké Pad x4; Rare Candy x4; Ruffian x1; Sacred Ash x1; Telepath Psychic Energy x4; Xerosic’s Machinations x1,1,1,0.0143,0,1,0.0,0.1002,0.0,0.0,0.0,,
UNLABELED_CLUSTER_55,Crustle / Dwebble / Ethan's Cyndaquil / Ethan's Quilava / Ethan's Typhlosion / Shaymin,07ff69c74632b4c4,Basic {G} Energy x10; Basic {R} Energy x6; Buddy-Buddy Poffin x4; Bug Catching Set x4; Crispin x2; Crustle x4; Dwebble x4; Ethan's Adventure x2; Ethan's Cyndaquil x3; Ethan's Quilava x3; Ethan's Typhlosion x2; Lillie's Determination x4; Night Stretcher x3; Poké Pad x4; Shaymin x1; Ultra Ball x4,1,1,0.0143,1,0,1.0,0.1002,0.0,0.0,1.0,,
UNLABELED_CLUSTER_56,Budew / Cubchoo,69d88f938f8b3f54,Basic {W} Energy x18; Battle Cage x4; Buddy-Buddy Poffin x4; Budew x4; Cubchoo x4; Lillie's Determination x4; Neutralization Zone x1; Night Stretcher x4; Poké Pad x4; Pokégear 3.0 x4; Switch x1; Ultra Ball x4; Xerosic’s Machinations x4,1,1,0.0143,0,1,0.0,0.1002,0.0,0.0,0.0,,
UNLABELED_CLUSTER_57,Dunsparce / Hop's Phantump / Hop's Trevenant / Hop’s Cramorant / Hop’s Snorlax,2209c374c5fe2353,Basic {P} Energy x6; Boss’s Orders x2; Brock’s Scouting x2; Buddy-Buddy Poffin x2; Colress’s Tenacity x2; Dunsparce x2; Hop's Phantump x4; Hop's Trevenant x4; Hop’s Bag x4; Hop’s Choice Band x4; Hop’s Cramorant x1; Hop’s Snorlax x2; Legacy Energy x1; Lillie's Determination x2; Mist Energy x3; Night Stretcher x3; Poké Pad x2; Pokégear 3.0 x4; Postwick x2; Team Rocket's Petrel x2; Team Rocket's Transceiver x1; Telepath Psychic Energy x4; Xerosic’s Machinations x1,1,1,0.0143,0,1,0.0,0.1002,0.0,0.0,0.0,,
UNLABELED_CLUSTER_58,Dudunsparce / Dunsparce / Hop's Phantump / Hop's Trevenant / Hop’s Snorlax / Shaymin,2e6ecf8381bfd901,Boss’s Orders x2; Brock’s Scouting x2; Buddy-Buddy Poffin x4; Colress’s Tenacity x2; Dudunsparce x3; Dunsparce x4; Hop's Phantump x4; Hop's Trevenant x2; Hop’s Bag x3; Hop’s Choice Band x4; Hop’s Snorlax x2; Legacy Energy x1; Lillie's Determination x4; Mist Energy x4; Night Stretcher x3; Poké Pad x4; Pokégear 3.0 x3; Postwick x4; Shaymin x1; Telepath Psychic Energy x4,1,1,0.0143,0,1,0.0,0.1002,0.0,0.0,0.0,,
UNLABELED_CLUSTER_59,Abra / Alakazam / Dudunsparce / Dunsparce / Genesect / Kadabra,94a74a2b69d27207,Abra x4; Alakazam x3; Basic {P} Energy x3; Battle Cage x4; Boss’s Orders x2; Buddy-Buddy Poffin x4; Dawn x4; Dudunsparce x2; Dunsparce x3; Enhanced Hammer x3; Enriching Energy x1; Genesect x1; Hilda x4; Kadabra x4; Lucky Helmet x3; Night Stretcher x1; Poké Pad x4; Rare Candy x3; Sacred Ash x2; Telepath Psychic Energy x4; Wondrous Patch x1,1,1,0.0143,1,0,1.0,0.1002,0.0,0.0,1.0,,
UNLABELED_CLUSTER_60,Barbaracle / Binacle / Lunatone / Munkidori / Okidogi / Solrock,0741acc7a0a81516,Air Balloon x3; Barbaracle x2; Basic {F} Energy x9; Battle Cage x1; Binacle x2; Boss’s Orders x4; Energy Retrieval x2; Fighting Gong x4; Legacy Energy x1; Lillie's Determination x4; Lunatone x2; Morty’s Conviction x3; Munkidori x1; Night Stretcher x2; Okidogi x3; Poké Pad x4; Pokégear 3.0 x3; Prism Energy x4; Solrock x3; Tarragon x2; Tool Scrapper x1,1,1,0.0143,0,1,0.0,0.1002,0.0,0.0,0.0,,
UNLABELED_CLUSTER_61,Latias ex / Lillie’s Clefairy ex / Meowth ex,86499e4fd823b2f6,Air Balloon x1; Basic {D} Energy x2; Basic {P} Energy x6; Bronzong x4; Bronzor x1; Bronzor x3; Buddy-Buddy Poffin x4; Call Bell x3; Crispin x2; Dudunsparce x2; Dunsparce x3; Energy Search x2; Hilda x1; Lana’s Aid x1; Latias ex x1; Lillie's Determination x3; Lillie’s Clefairy ex x1; Meowth ex x1; Munkidori x2; Mystery Garden x1; Poké Pad x4; Sacred Ash x1; Salvatore x4; Secret Box x1; Telepath Psychic Energy x4; Ultra Ball x2,1,1,0.0143,0,1,0.0,0.1002,0.0,0.0,0.0,,
UNLABELED_CLUSTER_62,Barbaracle / Binacle / Lunatone / Moltres / Okidogi / Patrat / Solrock,f3a66a435b68dcf2,Barbaracle x2; Basic {F} Energy x10; Battle Cage x2; Binacle x2; Boss’s Orders x3; Fighting Gong x4; Legacy Energy x1; Lillie's Determination x4; Lunatone x2; Moltres x1; Morty’s Conviction x2; Night Stretcher x2; Okidogi x4; Patrat x1; Poké Pad x4; Pokégear 3.0 x2; Premium Power Pro x2; Prism Energy x4; Solrock x2; Switch x3; Tarragon x2; Team Rocket's Watchtower x1,1,1,0.0143,1,0,1.0,0.1002,0.0,0.0,1.0,,
UNLABELED_CLUSTER_63,Abra / Alakazam / Dudunsparce / Dunsparce / Fan Rotom / Kadabra / Shaymin,b1af26bae039a041,Abra x4; Alakazam x4; Basic {P} Energy x1; Boss’s Orders x4; Buddy-Buddy Poffin x4; Dawn x4; Dudunsparce x3; Dunsparce x4; Enhanced Hammer x4; Enriching Energy x1; Fan Rotom x1; Hilda x3; Kadabra x4; Lana’s Aid x1; Night Stretcher x2; Nighttime Mine x4; Poké Pad x3; Rare Candy x3; Sacred Ash x1; Shaymin x1; Telepath Psychic Energy x4,1,1,0.0143,0,1,0.0,0.1002,0.0,0.0,0.0,,
UNLABELED_CLUSTER_64,Budew / Crustle / Dwebble / Ethan's Cyndaquil / Ethan's Quilava / Ethan's Typhlosion,b4d63a18cb52e991,Basic {G} Energy x3; Basic {R} Energy x5; Boss’s Orders x3; Budew x1; Colress’s Tenacity x2; Crustle x4; Dwebble x4; Ethan's Adventure x4; Ethan's Cyndaquil x4; Ethan's Quilava x4; Ethan's Typhlosion x4; Grow Grass Energy x4; Hero’s Cape x1; Judge x2; Lillie's Determination x4; Lumiose City x4; Night Stretcher x2; Poké Pad x4; Ultra Ball x1,1,1,0.0143,0,1,0.0,0.1002,0.0,0.0,0.0,,
UNLABELED_CLUSTER_65,Elgyem / Maractus / Team Rocket's Articuno / Turtonator,b89226f24fe868a6,Basic {P} Energy x8; Boss’s Orders x4; Brock’s Scouting x3; Crushing Hammer x4; Elgyem x2; Enhanced Hammer x4; Handheld Fan x4; Kofu x4; Lillie's Determination x4; Maractus x2; Neutralization Zone x1; Night Stretcher x4; Nighttime Mine x2; Poké Pad x4; Team Rocket's Articuno x2; Tool Scrapper x2; Turtonator x4; Xerosic’s Machinations x2,1,1,0.0143,0,1,0.0,0.1002,0.0,0.0,0.0,,
UNLABELED_CLUSTER_66,Cubchoo / Dudunsparce / Dunsparce / Great Tusk / Shaymin,0d2a3e2649f24fb1,Basic {W} Energy x12; Battle Cage x1; Buddy-Buddy Poffin x4; Crushing Hammer x4; Cubchoo x4; Dudunsparce x2; Dunsparce x2; Enhanced Hammer x4; Great Tusk x1; Iris’s Fighting Spirit x4; Lillie's Determination x4; Neutralization Zone x1; Night Stretcher x4; Poké Pad x4; Pokégear 3.0 x4; Shaymin x2; Switch x1; Xerosic’s Machinations x2,1,1,0.0143,1,0,1.0,0.0,0.0502,0.0,,1.0,
UNLABELED_CLUSTER_67,Abra / Alakazam / Dudunsparce / Dunsparce / Kadabra / Sigilyph,49c73af4f8ad03d9,Abra x4; Alakazam x4; Basic {P} Energy x3; Boss’s Orders x3; Buddy-Buddy Poffin x4; Dawn x4; Dudunsparce x3; Dunsparce x4; Enhanced Hammer x3; Enriching Energy x1; Hilda x4; Kadabra x4; Lana’s Aid x1; Night Stretcher x1; Poké Pad x4; Rare Candy x4; Sacred Ash x1; Sigilyph x1; Telepath Psychic Energy x4; Xerosic’s Machinations x3,1,1,0.0143,0,1,0.0,0.0,0.0502,0.0,,0.0,
UNLABELED_CLUSTER_68,Cornerstone Mask Ogerpon ex / Latias ex / Meowth ex,680da0c6c840cf99,Basic {D} Energy x3; Basic {F} Energy x1; Basic {P} Energy x5; Bronzong x4; Bronzor x3; Bronzor x1; Buddy-Buddy Poffin x3; Call Bell x4; Cornerstone Mask Ogerpon ex x2; Energy Search x4; Hero’s Cape x1; Hilda x1; Latias ex x3; Lillie's Determination x2; Meowth ex x3; Munkidori x3; Poké Pad x4; Pokégear 3.0 x1; Salvatore x4; Telepath Psychic Energy x4; Ultra Ball x4,1,1,0.0143,0,1,0.0,0.0,0.0,0.0251,,,0.0
UNLABELED_CLUSTER_69,Archaludon ex / Meowth ex,c9a5452977af0b41,Archaludon ex x4; Basic {M} Energy x13; Boss’s Orders x2; Carmine x2; Cinderace x3; Duraludon x4; Full Metal Lab x2; Hero’s Cape x1; Judge x3; Lillie's Determination x4; Meowth ex x2; Naveen x4; Night Stretcher x3; Poké Pad x4; Relicanth x2; Team Rocket's Articuno x1; Ultra Ball x4; Xerosic’s Machinations x2,1,1,0.0143,1,0,1.0,0.0,0.0502,0.0,,1.0,
UNLABELED_CLUSTER_70,Mega Sharpedo ex,b888258643d0b247,Basic {D} Energy x11; Boss’s Orders x2; Buddy-Buddy Poffin x4; Carvanha x4; Hilda x2; Jamming Tower x2; Lillie's Determination x4; Mega Sharpedo ex x4; Mega Signal x4; Night Stretcher x3; Poké Pad x3; Pokégear 3.0 x2; Salvatore x2; Seviper x1; Tool Scrapper x1; Toxel x2; Toxtricity x2; Unfair Stamp x1; Wally's Compassion x4; Xerosic’s Machinations x2,1,1,0.0143,0,1,0.0,0.0,0.0502,0.0,,0.0,
UNLABELED_CLUSTER_71,Chandelure / Comfey / Lampent / Litwick,70645f1ff74e9b48,Acerola's Mischief x3; Basic {P} Energy x9; Battle Cage x4; Buddy-Buddy Poffin x4; Chandelure x4; Comfey x4; Dawn x3; Energy Search x1; Lampent x2; Lillie's Determination x4; Litwick x4; Night Stretcher x2; Poké Pad x4; Rare Candy x4; Super Potion x1; Survival Brace x1; Switch x2; Team Rocket's Petrel x2; Xerosic’s Machinations x2,1,1,0.0143,0,1,0.0,0.0,0.0,0.0251,,,0.0
UNLABELED_CLUSTER_72,Applin / Budew / Dipplin / Goldeen / Grookey / Rillaboom / Thwackey,1d1ce49f8102bb10,Air Balloon x2; Applin x4; Basic {G} Energy x6; Black Belt’s Training x2; Boss’s Orders x2; Brave Bangle x2; Buddy-Buddy Poffin x4; Budew x1; Bug Catching Set x4; Dipplin x4; Festival Grounds x4; Goldeen x1; Grookey x4; Judge x3; Lana’s Aid x2; Lillie's Determination x4; Night Stretcher x1; Poké Pad x4; Rillaboom x1; Thwackey x4; Unfair Stamp x1,1,1,0.0143,1,0,1.0,0.0,0.0,0.0251,,,1.0
