archetype_A,archetype_B,games,wins_A,wins_B,win_rate_A,win_rate_B,win_rate_A_wilson_lo,win_rate_A_wilson_hi,sample_confidence,games_recent,win_rate_A_recent,sample_confidence_recent,credible_counter_A_over_B,credible_counter_B_over_A,games_mismatch_flag
Marnie's Grimmsnarl ex,UNLABELED_CLUSTER_70,1,1,0,1.0,0.0,0.2065,1.0,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Marnie's Grimmsnarl ex,UNLABELED_CLUSTER_71,1,1,0,1.0,0.0,0.2065,1.0,INSUFFICIENT,1,1.0,INSUFFICIENT,False,False,False
Marnie's Grimmsnarl ex,UNLABELED_CLUSTER_72,1,0,1,0.0,1.0,0.0,0.7935,INSUFFICIENT,1,0.0,INSUFFICIENT,False,False,False
Mega Kangaskhan ex,Mega Abomasnow ex,1,1,0,1.0,0.0,0.2065,1.0,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Marnie's Grimmsnarl ex,UNLABELED_CLUSTER_46,1,0,1,0.0,1.0,0.0,0.7935,INSUFFICIENT,1,0.0,INSUFFICIENT,False,False,False
Marnie's Grimmsnarl ex,UNLABELED_CLUSTER_56,1,1,0,1.0,0.0,0.2065,1.0,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Marnie's Grimmsnarl ex,UNLABELED_CLUSTER_45,1,0,1,0.0,1.0,0.0,0.7935,INSUFFICIENT,1,0.0,INSUFFICIENT,False,False,False
Marnie's Grimmsnarl ex,UNLABELED_CLUSTER_20,1,1,0,1.0,0.0,0.2065,1.0,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Marnie's Grimmsnarl ex,UNLABELED_CLUSTER_40,1,1,0,1.0,0.0,0.2065,1.0,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Marnie's Grimmsnarl ex,UNLABELED_CLUSTER_32,1,0,1,0.0,1.0,0.0,0.7935,INSUFFICIENT,1,0.0,INSUFFICIENT,False,False,False
Marnie's Grimmsnarl ex,UNLABELED_CLUSTER_41,1,1,0,1.0,0.0,0.2065,1.0,INSUFFICIENT,1,1.0,INSUFFICIENT,False,False,False
Marnie's Grimmsnarl ex,UNLABELED_CLUSTER_44,1,1,0,1.0,0.0,0.2065,1.0,INSUFFICIENT,1,1.0,INSUFFICIENT,False,False,False
Marnie's Grimmsnarl ex,UNLABELED_CLUSTER_24,1,1,0,1.0,0.0,0.2065,1.0,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Marnie's Grimmsnarl ex,UNLABELED_CLUSTER_18,1,1,0,1.0,0.0,0.2065,1.0,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Dragapult ex,UNLABELED_CLUSTER_08,1,0,1,0.0,1.0,0.0,0.7935,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Dragapult ex,UNLABELED_CLUSTER_11,1,1,0,1.0,0.0,0.2065,1.0,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
UNLABELED_CLUSTER_01,Iono's (Bellibolt/Voltorb),1,1,0,1.0,0.0,0.2065,1.0,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Fezandipiti ex,UNLABELED_CLUSTER_62,1,0,1,0.0,1.0,0.0,0.7935,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Fezandipiti ex,UNLABELED_CLUSTER_58,1,1,0,1.0,0.0,0.2065,1.0,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
UNLABELED_CLUSTER_06,Iono's (Bellibolt/Voltorb),1,0,1,0.0,1.0,0.0,0.7935,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Iono's (Bellibolt/Voltorb),UNLABELED_CLUSTER_19,1,0,1,0.0,1.0,0.0,0.7935,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
UNLABELED_CLUSTER_07,Iono's (Bellibolt/Voltorb),1,0,1,0.0,1.0,0.0,0.7935,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Dragapult ex,UNLABELED_CLUSTER_22,1,1,0,1.0,0.0,0.2065,1.0,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Dragapult ex,UNLABELED_CLUSTER_20,1,1,0,1.0,0.0,0.2065,1.0,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Dragapult ex,UNLABELED_CLUSTER_17,1,0,1,0.0,1.0,0.0,0.7935,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Dragapult ex,UNLABELED_CLUSTER_18,1,0,1,0.0,1.0,0.0,0.7935,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Iono's (Bellibolt/Voltorb),UNLABELED_CLUSTER_27,1,0,1,0.0,1.0,0.0,0.7935,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Marnie's Grimmsnarl ex,UNLABELED_CLUSTER_05,1,1,0,1.0,0.0,0.2065,1.0,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Dragapult ex,UNLABELED_CLUSTER_13,1,1,0,1.0,0.0,0.2065,1.0,INSUFFICIENT,1,1.0,INSUFFICIENT,False,False,False
UNLABELED_CLUSTER_16,UNLABELED_CLUSTER_23,1,0,1,0.0,1.0,0.0,0.7935,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
UNLABELED_CLUSTER_11,UNLABELED_CLUSTER_14,1,1,0,1.0,0.0,0.2065,1.0,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Fezandipiti ex,UNLABELED_CLUSTER_14,1,0,1,0.0,1.0,0.0,0.7935,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Dragapult ex,UNLABELED_CLUSTER_29,1,1,0,1.0,0.0,0.2065,1.0,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
UNLABELED_CLUSTER_07,UNLABELED_CLUSTER_36,1,1,0,1.0,0.0,0.2065,1.0,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
UNLABELED_CLUSTER_08,UNLABELED_CLUSTER_12,1,0,1,0.0,1.0,0.0,0.7935,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
UNLABELED_CLUSTER_10,UNLABELED_CLUSTER_61,1,1,0,1.0,0.0,0.2065,1.0,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
UNLABELED_CLUSTER_04,UNLABELED_CLUSTER_28,1,1,0,1.0,0.0,0.2065,1.0,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
UNLABELED_CLUSTER_05,UNLABELED_CLUSTER_22,1,0,1,0.0,1.0,0.0,0.7935,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
UNLABELED_CLUSTER_06,UNLABELED_CLUSTER_48,1,0,1,0.0,1.0,0.0,0.7935,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
UNLABELED_CLUSTER_05,UNLABELED_CLUSTER_36,1,0,1,0.0,1.0,0.0,0.7935,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Cynthia's Garchomp ex,UNLABELED_CLUSTER_08,1,0,1,0.0,1.0,0.0,0.7935,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Cynthia's Garchomp ex,UNLABELED_CLUSTER_09,1,1,0,1.0,0.0,0.2065,1.0,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
UNLABELED_CLUSTER_06,UNLABELED_CLUSTER_49,1,0,1,0.0,1.0,0.0,0.7935,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
UNLABELED_CLUSTER_06,UNLABELED_CLUSTER_52,1,1,0,1.0,0.0,0.2065,1.0,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
UNLABELED_CLUSTER_22,UNLABELED_CLUSTER_35,1,1,0,1.0,0.0,0.2065,1.0,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Fezandipiti ex,UNLABELED_CLUSTER_23,1,1,0,1.0,0.0,0.2065,1.0,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Fezandipiti ex,UNLABELED_CLUSTER_30,1,1,0,1.0,0.0,0.2065,1.0,INSUFFICIENT,1,1.0,INSUFFICIENT,False,False,False
Fezandipiti ex,UNLABELED_CLUSTER_35,1,0,1,0.0,1.0,0.0,0.7935,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Fezandipiti ex,UNLABELED_CLUSTER_40,1,0,1,0.0,1.0,0.0,0.7935,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Cynthia's Garchomp ex,UNLABELED_CLUSTER_15,1,0,1,0.0,1.0,0.0,0.7935,INSUFFICIENT,1,0.0,INSUFFICIENT,False,False,False
Mega Lopunny ex,UNLABELED_CLUSTER_08,1,0,1,0.0,1.0,0.0,0.7935,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Mega Lopunny ex,UNLABELED_CLUSTER_06,1,1,0,1.0,0.0,0.2065,1.0,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Cynthia's Garchomp ex,UNLABELED_CLUSTER_31,1,0,1,0.0,1.0,0.0,0.7935,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Cynthia's Garchomp ex,UNLABELED_CLUSTER_67,1,1,0,1.0,0.0,0.2065,1.0,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Cynthia's Garchomp ex,UNLABELED_CLUSTER_16,1,1,0,1.0,0.0,0.2065,1.0,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Cynthia's Garchomp ex,UNLABELED_CLUSTER_19,1,0,1,0.0,1.0,0.0,0.7935,INSUFFICIENT,1,0.0,INSUFFICIENT,False,False,False
Mega Kangaskhan ex,UNLABELED_CLUSTER_31,1,0,1,0.0,1.0,0.0,0.7935,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Mega Kangaskhan ex,UNLABELED_CLUSTER_30,1,1,0,1.0,0.0,0.2065,1.0,INSUFFICIENT,1,1.0,INSUFFICIENT,False,False,False
Mega Kangaskhan ex,UNLABELED_CLUSTER_28,1,0,1,0.0,1.0,0.0,0.7935,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Mega Kangaskhan ex,UNLABELED_CLUSTER_26,1,0,1,0.0,1.0,0.0,0.7935,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Teal Mask Ogerpon ex,UNLABELED_CLUSTER_11,1,1,0,1.0,0.0,0.2065,1.0,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Teal Mask Ogerpon ex,UNLABELED_CLUSTER_04,1,0,1,0.0,1.0,0.0,0.7935,INSUFFICIENT,1,0.0,INSUFFICIENT,False,False,False
Mega Lucario ex,UNLABELED_CLUSTER_66,1,0,1,0.0,1.0,0.0,0.7935,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Mega Lucario ex,UNLABELED_CLUSTER_65,1,1,0,1.0,0.0,0.2065,1.0,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Mega Lucario ex,UNLABELED_CLUSTER_55,1,0,1,0.0,1.0,0.0,0.7935,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Mega Lucario ex,UNLABELED_CLUSTER_63,1,1,0,1.0,0.0,0.2065,1.0,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Mega Lucario ex,UNLABELED_CLUSTER_49,1,1,0,1.0,0.0,0.2065,1.0,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Mega Lucario ex,UNLABELED_CLUSTER_48,1,0,1,0.0,1.0,0.0,0.7935,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Mega Lucario ex,UNLABELED_CLUSTER_27,1,0,1,0.0,1.0,0.0,0.7935,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Mega Lucario ex,UNLABELED_CLUSTER_47,1,0,1,0.0,1.0,0.0,0.7935,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Mega Lucario ex,UNLABELED_CLUSTER_32,1,0,1,0.0,1.0,0.0,0.7935,INSUFFICIENT,1,0.0,INSUFFICIENT,False,False,False
Mega Lucario ex,UNLABELED_CLUSTER_28,1,1,0,1.0,0.0,0.2065,1.0,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Mega Lucario ex,UNLABELED_CLUSTER_20,1,0,1,0.0,1.0,0.0,0.7935,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Mega Lucario ex,UNLABELED_CLUSTER_21,1,1,0,1.0,0.0,0.2065,1.0,INSUFFICIENT,1,1.0,INSUFFICIENT,False,False,False
Mega Lucario ex,UNLABELED_CLUSTER_07,1,0,1,0.0,1.0,0.0,0.7935,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Mega Lucario ex,UNLABELED_CLUSTER_16,1,1,0,1.0,0.0,0.2065,1.0,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Mega Lopunny ex,UNLABELED_CLUSTER_30,1,1,0,1.0,0.0,0.2065,1.0,INSUFFICIENT,1,1.0,INSUFFICIENT,False,False,False
Mega Lopunny ex,UNLABELED_CLUSTER_33,1,1,0,1.0,0.0,0.2065,1.0,INSUFFICIENT,1,1.0,INSUFFICIENT,False,False,False
Mega Lopunny ex,UNLABELED_CLUSTER_68,1,1,0,1.0,0.0,0.2065,1.0,INSUFFICIENT,1,1.0,INSUFFICIENT,False,False,False
Team Rocket's Mewtwo ex,Mega Lucario ex,1,1,0,1.0,0.0,0.2065,1.0,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Mega Kangaskhan ex,UNLABELED_CLUSTER_21,1,1,0,1.0,0.0,0.2065,1.0,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Mega Kangaskhan ex,UNLABELED_CLUSTER_10,1,0,1,0.0,1.0,0.0,0.7935,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Mega Kangaskhan ex,UNLABELED_CLUSTER_14,1,1,0,1.0,0.0,0.2065,1.0,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Mega Kangaskhan ex,UNLABELED_CLUSTER_16,1,1,0,1.0,0.0,0.2065,1.0,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Mega Lopunny ex,UNLABELED_CLUSTER_07,1,0,1,0.0,1.0,0.0,0.7935,INSUFFICIENT,1,0.0,INSUFFICIENT,False,False,False
Team Rocket's Mewtwo ex,UNLABELED_CLUSTER_13,1,1,0,1.0,0.0,0.2065,1.0,INSUFFICIENT,1,1.0,INSUFFICIENT,False,False,False
Team Rocket's Mewtwo ex,UNLABELED_CLUSTER_69,1,0,1,0.0,1.0,0.0,0.7935,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Team Rocket's Mewtwo ex,UNLABELED_CLUSTER_44,1,1,0,1.0,0.0,0.2065,1.0,INSUFFICIENT,1,1.0,INSUFFICIENT,False,False,False
Team Rocket's Mewtwo ex,UNLABELED_CLUSTER_02,1,0,1,0.0,1.0,0.0,0.7935,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Teal Mask Ogerpon ex,UNLABELED_CLUSTER_45,1,0,1,0.0,1.0,0.0,0.7935,INSUFFICIENT,1,0.0,INSUFFICIENT,False,False,False
Team Rocket's Mewtwo ex,UNLABELED_CLUSTER_29,1,1,0,1.0,0.0,0.2065,1.0,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Teal Mask Ogerpon ex,UNLABELED_CLUSTER_32,1,0,1,0.0,1.0,0.0,0.7935,INSUFFICIENT,1,0.0,INSUFFICIENT,False,False,False
UNLABELED_CLUSTER_01,UNLABELED_CLUSTER_38,1,0,1,0.0,1.0,0.0,0.7935,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
UNLABELED_CLUSTER_01,UNLABELED_CLUSTER_37,1,1,0,1.0,0.0,0.2065,1.0,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
UNLABELED_CLUSTER_01,UNLABELED_CLUSTER_36,1,0,1,0.0,1.0,0.0,0.7935,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
UNLABELED_CLUSTER_01,UNLABELED_CLUSTER_35,1,0,1,0.0,1.0,0.0,0.7935,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
UNLABELED_CLUSTER_01,UNLABELED_CLUSTER_31,1,1,0,1.0,0.0,0.2065,1.0,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
UNLABELED_CLUSTER_01,UNLABELED_CLUSTER_24,1,0,1,0.0,1.0,0.0,0.7935,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
UNLABELED_CLUSTER_01,UNLABELED_CLUSTER_23,1,0,1,0.0,1.0,0.0,0.7935,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
UNLABELED_CLUSTER_01,UNLABELED_CLUSTER_16,1,0,1,0.0,1.0,0.0,0.7935,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Team Rocket's Mewtwo ex,UNLABELED_CLUSTER_07,1,0,1,0.0,1.0,0.0,0.7935,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
Team Rocket's Mewtwo ex,UNLABELED_CLUSTER_05,1,1,0,1.0,0.0,0.2065,1.0,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
UNLABELED_CLUSTER_02,UNLABELED_CLUSTER_07,1,0,1,0.0,1.0,0.0,0.7935,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
UNLABELED_CLUSTER_02,UNLABELED_CLUSTER_18,1,0,1,0.0,1.0,0.0,0.7935,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
UNLABELED_CLUSTER_02,UNLABELED_CLUSTER_28,1,1,0,1.0,0.0,0.2065,1.0,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
UNLABELED_CLUSTER_01,UNLABELED_CLUSTER_39,1,0,1,0.0,1.0,0.0,0.7935,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
UNLABELED_CLUSTER_02,UNLABELED_CLUSTER_14,1,0,1,0.0,1.0,0.0,0.7935,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
UNLABELED_CLUSTER_01,UNLABELED_CLUSTER_51,1,0,1,0.0,1.0,0.0,0.7935,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
UNLABELED_CLUSTER_02,UNLABELED_CLUSTER_39,1,1,0,1.0,0.0,0.2065,1.0,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
UNLABELED_CLUSTER_02,UNLABELED_CLUSTER_57,1,1,0,1.0,0.0,0.2065,1.0,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
UNLABELED_CLUSTER_02,UNLABELED_CLUSTER_23,1,0,1,0.0,1.0,0.0,0.7935,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
UNLABELED_CLUSTER_03,UNLABELED_CLUSTER_09,1,1,0,1.0,0.0,0.2065,1.0,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
UNLABELED_CLUSTER_03,UNLABELED_CLUSTER_19,1,1,0,1.0,0.0,0.2065,1.0,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
UNLABELED_CLUSTER_03,UNLABELED_CLUSTER_22,1,1,0,1.0,0.0,0.2065,1.0,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
UNLABELED_CLUSTER_03,UNLABELED_CLUSTER_25,1,0,1,0.0,1.0,0.0,0.7935,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
UNLABELED_CLUSTER_03,UNLABELED_CLUSTER_16,1,1,0,1.0,0.0,0.2065,1.0,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
UNLABELED_CLUSTER_03,UNLABELED_CLUSTER_38,1,1,0,1.0,0.0,0.2065,1.0,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
UNLABELED_CLUSTER_03,UNLABELED_CLUSTER_54,1,1,0,1.0,0.0,0.2065,1.0,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
UNLABELED_CLUSTER_04,UNLABELED_CLUSTER_07,1,1,0,1.0,0.0,0.2065,1.0,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
UNLABELED_CLUSTER_04,UNLABELED_CLUSTER_13,1,0,1,0.0,1.0,0.0,0.7935,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
UNLABELED_CLUSTER_04,UNLABELED_CLUSTER_20,1,1,0,1.0,0.0,0.2065,1.0,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
UNLABELED_CLUSTER_04,UNLABELED_CLUSTER_23,1,0,1,0.0,1.0,0.0,0.7935,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
UNLABELED_CLUSTER_04,UNLABELED_CLUSTER_24,1,0,1,0.0,1.0,0.0,0.7935,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
UNLABELED_CLUSTER_37,UNLABELED_CLUSTER_60,1,1,0,1.0,0.0,0.2065,1.0,INSUFFICIENT,0,,INSUFFICIENT,False,False,False
