level,player_deck_hash,opponent_deck_hash,games,wins,losses,win_rate,wilson_lo,wilson_hi,confidence
ARCHETYPE,UNLABELED_CLUSTER_37,UNLABELED_CLUSTER_60,1,1,0,1.0,0.2065,1.0,INSUFFICIENT
ARCHETYPE,Marnie's Grimmsnarl ex,UNLABELED_CLUSTER_20,1,1,0,1.0,0.2065,1.0,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_61,UNLABELED_CLUSTER_10,1,0,1,0.0,0.0,0.7935,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_24,UNLABELED_CLUSTER_01,1,1,0,1.0,0.2065,1.0,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_62,Fezandipiti ex,1,1,0,1.0,0.2065,1.0,INSUFFICIENT
ARCHETYPE,Mega Lucario ex,UNLABELED_CLUSTER_07,1,0,1,0.0,0.0,0.7935,INSUFFICIENT
ARCHETYPE,Mega Kangaskhan ex,Mega Abomasnow ex,1,1,0,1.0,0.2065,1.0,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_63,Mega Lucario ex,1,0,1,0.0,0.0,0.7935,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_06,Iono's (Bellibolt/Voltorb),1,0,1,0.0,0.0,0.7935,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_39,UNLABELED_CLUSTER_02,1,0,1,0.0,0.0,0.7935,INSUFFICIENT
ARCHETYPE,Team Rocket's Mewtwo ex,UNLABELED_CLUSTER_05,1,1,0,1.0,0.2065,1.0,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_03,UNLABELED_CLUSTER_19,1,1,0,1.0,0.2065,1.0,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_29,Dragapult ex,1,0,1,0.0,0.0,0.7935,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_64,Marnie's Grimmsnarl ex,1,0,1,0.0,0.0,0.7935,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_16,UNLABELED_CLUSTER_03,1,0,1,0.0,0.0,0.7935,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_23,UNLABELED_CLUSTER_01,1,1,0,1.0,0.2065,1.0,INSUFFICIENT
ARCHETYPE,Marnie's Grimmsnarl ex,UNLABELED_CLUSTER_40,1,1,0,1.0,0.2065,1.0,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_35,Fezandipiti ex,1,1,0,1.0,0.2065,1.0,INSUFFICIENT
ARCHETYPE,Mega Kangaskhan ex,UNLABELED_CLUSTER_10,1,0,1,0.0,0.0,0.7935,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_65,Mega Lucario ex,1,0,1,0.0,0.0,0.7935,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_19,Iono's (Bellibolt/Voltorb),1,1,0,1.0,0.2065,1.0,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_21,Mega Kangaskhan ex,1,0,1,0.0,0.0,0.7935,INSUFFICIENT
ARCHETYPE,Fezandipiti ex,UNLABELED_CLUSTER_24,1,0,1,0.0,0.0,0.7935,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_07,Team Rocket's Mewtwo ex,1,1,0,1.0,0.2065,1.0,INSUFFICIENT
ARCHETYPE,Mega Kangaskhan ex,UNLABELED_CLUSTER_28,1,0,1,0.0,0.0,0.7935,INSUFFICIENT
ARCHETYPE,Mega Kangaskhan ex,UNLABELED_CLUSTER_16,1,1,0,1.0,0.2065,1.0,INSUFFICIENT
ARCHETYPE,Team Rocket's Mewtwo ex,UNLABELED_CLUSTER_02,1,0,1,0.0,0.0,0.7935,INSUFFICIENT
ARCHETYPE,Mega Lucario ex,UNLABELED_CLUSTER_66,1,0,1,0.0,0.0,0.7935,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_67,Cynthia's Garchomp ex,1,0,1,0.0,0.0,0.7935,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_25,UNLABELED_CLUSTER_03,1,1,0,1.0,0.2065,1.0,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_07,UNLABELED_CLUSTER_04,1,0,1,0.0,0.0,0.7935,INSUFFICIENT
ARCHETYPE,Mega Lopunny ex,UNLABELED_CLUSTER_68,1,1,0,1.0,0.2065,1.0,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_32,Marnie's Grimmsnarl ex,1,1,0,1.0,0.2065,1.0,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_21,Mega Lucario ex,1,0,1,0.0,0.0,0.7935,INSUFFICIENT
ARCHETYPE,Cynthia's Garchomp ex,UNLABELED_CLUSTER_15,1,0,1,0.0,0.0,0.7935,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_30,Fezandipiti ex,1,0,1,0.0,0.0,0.7935,INSUFFICIENT
ARCHETYPE,Marnie's Grimmsnarl ex,UNLABELED_CLUSTER_41,1,1,0,1.0,0.2065,1.0,INSUFFICIENT
ARCHETYPE,Teal Mask Ogerpon ex,UNLABELED_CLUSTER_11,1,1,0,1.0,0.2065,1.0,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_04,UNLABELED_CLUSTER_20,1,1,0,1.0,0.2065,1.0,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_14,UNLABELED_CLUSTER_02,1,1,0,1.0,0.2065,1.0,INSUFFICIENT
ARCHETYPE,Fezandipiti ex,UNLABELED_CLUSTER_14,1,0,1,0.0,0.0,0.7935,INSUFFICIENT
ARCHETYPE,Marnie's Grimmsnarl ex,UNLABELED_CLUSTER_24,1,1,0,1.0,0.2065,1.0,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_01,UNLABELED_CLUSTER_31,1,1,0,1.0,0.2065,1.0,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_31,Mega Kangaskhan ex,1,1,0,1.0,0.2065,1.0,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_04,UNLABELED_CLUSTER_24,1,0,1,0.0,0.0,0.7935,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_14,Mega Kangaskhan ex,1,0,1,0.0,0.0,0.7935,INSUFFICIENT
ARCHETYPE,Cynthia's Garchomp ex,UNLABELED_CLUSTER_08,1,0,1,0.0,0.0,0.7935,INSUFFICIENT
ARCHETYPE,Cynthia's Garchomp ex,UNLABELED_CLUSTER_31,1,0,1,0.0,0.0,0.7935,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_14,UNLABELED_CLUSTER_11,1,0,1,0.0,0.0,0.7935,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_08,Mega Lopunny ex,1,1,0,1.0,0.2065,1.0,INSUFFICIENT
ARCHETYPE,Dragapult ex,UNLABELED_CLUSTER_18,1,0,1,0.0,0.0,0.7935,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_02,UNLABELED_CLUSTER_18,1,0,1,0.0,0.0,0.7935,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_16,Cynthia's Garchomp ex,1,0,1,0.0,0.0,0.7935,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_18,Marnie's Grimmsnarl ex,1,0,1,0.0,0.0,0.7935,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_13,UNLABELED_CLUSTER_04,1,1,0,1.0,0.2065,1.0,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_08,UNLABELED_CLUSTER_12,1,0,1,0.0,0.0,0.7935,INSUFFICIENT
ARCHETYPE,Mega Kangaskhan ex,UNLABELED_CLUSTER_26,1,0,1,0.0,0.0,0.7935,INSUFFICIENT
ARCHETYPE,Dragapult ex,UNLABELED_CLUSTER_08,1,0,1,0.0,0.0,0.7935,INSUFFICIENT
ARCHETYPE,Cynthia's Garchomp ex,UNLABELED_CLUSTER_09,1,1,0,1.0,0.2065,1.0,INSUFFICIENT
ARCHETYPE,Team Rocket's Mewtwo ex,UNLABELED_CLUSTER_69,1,0,1,0.0,0.0,0.7935,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_09,UNLABELED_CLUSTER_03,1,0,1,0.0,0.0,0.7935,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_70,Marnie's Grimmsnarl ex,1,0,1,0.0,0.0,0.7935,INSUFFICIENT
ARCHETYPE,Team Rocket's Mewtwo ex,UNLABELED_CLUSTER_44,1,1,0,1.0,0.2065,1.0,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_13,Dragapult ex,1,0,1,0.0,0.0,0.7935,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_44,Marnie's Grimmsnarl ex,1,0,1,0.0,0.0,0.7935,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_13,Fezandipiti ex,1,0,1,0.0,0.0,0.7935,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_13,Team Rocket's Mewtwo ex,1,0,1,0.0,0.0,0.7935,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_30,Mega Kangaskhan ex,1,0,1,0.0,0.0,0.7935,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_30,Mega Lopunny ex,1,0,1,0.0,0.0,0.7935,INSUFFICIENT
ARCHETYPE,Teal Mask Ogerpon ex,UNLABELED_CLUSTER_04,1,0,1,0.0,0.0,0.7935,INSUFFICIENT
ARCHETYPE,Cynthia's Garchomp ex,UNLABELED_CLUSTER_19,1,0,1,0.0,0.0,0.7935,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_45,Marnie's Grimmsnarl ex,1,1,0,1.0,0.2065,1.0,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_45,Teal Mask Ogerpon ex,1,1,0,1.0,0.2065,1.0,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_32,Mega Lucario ex,1,1,0,1.0,0.2065,1.0,INSUFFICIENT
ARCHETYPE,Mega Lopunny ex,UNLABELED_CLUSTER_33,1,1,0,1.0,0.2065,1.0,INSUFFICIENT
ARCHETYPE,Marnie's Grimmsnarl ex,UNLABELED_CLUSTER_71,1,1,0,1.0,0.2065,1.0,INSUFFICIENT
ARCHETYPE,Teal Mask Ogerpon ex,UNLABELED_CLUSTER_32,1,0,1,0.0,0.0,0.7935,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_46,Fezandipiti ex,1,0,1,0.0,0.0,0.7935,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_46,Marnie's Grimmsnarl ex,1,1,0,1.0,0.2065,1.0,INSUFFICIENT
ARCHETYPE,Mega Lopunny ex,UNLABELED_CLUSTER_07,1,0,1,0.0,0.0,0.7935,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_72,Marnie's Grimmsnarl ex,1,1,0,1.0,0.2065,1.0,INSUFFICIENT
ARCHETYPE,UNLABELED_CLUSTER_41,Dragapult ex,1,0,1,0.0,0.0,0.7935,INSUFFICIENT
EXACT,fcac695071c3f3cf,dc2ce39b94cbbb38,191,80,111,0.4188,0.3512,0.4897,USABLE
EXACT,dc2ce39b94cbbb38,b43a53d96da0f0b5,97,44,53,0.4536,0.3582,0.5526,USABLE
EXACT,fcac695071c3f3cf,b43a53d96da0f0b5,51,24,27,0.4706,0.3405,0.6048,USABLE
EXACT,e34dae96b1984485,dc2ce39b94cbbb38,49,27,22,0.551,0.4131,0.6815,LOW_CONFIDENCE
EXACT,fcac695071c3f3cf,b20e3e96100a11d5,32,15,17,0.4688,0.3087,0.6355,LOW_CONFIDENCE
EXACT,37f2032236fb6baf,fcac695071c3f3cf,31,11,20,0.3548,0.2112,0.5305,LOW_CONFIDENCE
EXACT,dc2ce39b94cbbb38,fb6542fd45093b86,30,9,21,0.3,0.1666,0.4788,LOW_CONFIDENCE
EXACT,b78aa05e94236e10,dc2ce39b94cbbb38,29,13,16,0.4483,0.2841,0.6245,LOW_CONFIDENCE
EXACT,37f2032236fb6baf,b20e3e96100a11d5,27,14,13,0.5185,0.3399,0.6926,LOW_CONFIDENCE
EXACT,e34dae96b1984485,fcac695071c3f3cf,27,12,15,0.4444,0.2759,0.6269,LOW_CONFIDENCE
EXACT,b43a53d96da0f0b5,e34dae96b1984485,25,9,16,0.36,0.2025,0.5548,LOW_CONFIDENCE
EXACT,19a01ac1cebb1e8b,dc2ce39b94cbbb38,25,12,13,0.48,0.3003,0.665,LOW_CONFIDENCE
EXACT,dc2ce39b94cbbb38,2b38095c5eca59f6,21,2,19,0.0952,0.0265,0.2891,LOW_CONFIDENCE
EXACT,dc2ce39b94cbbb38,c4ebaf6e42fc8a2a,21,11,10,0.5238,0.3237,0.7166,LOW_CONFIDENCE
EXACT,58c4d89cf8edc355,dc2ce39b94cbbb38,18,3,15,0.1667,0.0584,0.3922,INSUFFICIENT
EXACT,dc2ce39b94cbbb38,058f82abd5449e39,18,5,13,0.2778,0.125,0.5087,INSUFFICIENT
EXACT,14db4b34cc8fbbb7,fcac695071c3f3cf,18,11,7,0.6111,0.3862,0.797,INSUFFICIENT
EXACT,dc2ce39b94cbbb38,61f90c30a060ef40,17,6,11,0.3529,0.1731,0.587,INSUFFICIENT
EXACT,f1b53d2f908f682e,dc2ce39b94cbbb38,17,5,12,0.2941,0.1328,0.5313,INSUFFICIENT
EXACT,dc2ce39b94cbbb38,13ea47d998aa99fa,16,7,9,0.4375,0.231,0.6682,INSUFFICIENT
EXACT,fcac695071c3f3cf,fb6542fd45093b86,16,7,9,0.4375,0.231,0.6682,INSUFFICIENT
EXACT,14db4b34cc8fbbb7,dc2ce39b94cbbb38,16,3,13,0.1875,0.0659,0.4301,INSUFFICIENT
EXACT,eb1222900df9baf0,dc2ce39b94cbbb38,15,8,7,0.5333,0.3012,0.7519,INSUFFICIENT
EXACT,3fe56fcd5e43bce7,dc2ce39b94cbbb38,15,7,8,0.4667,0.2481,0.6988,INSUFFICIENT
EXACT,dc2ce39b94cbbb38,5ef1f4c673271c4f,14,6,8,0.4286,0.2138,0.6741,INSUFFICIENT
EXACT,b43a53d96da0f0b5,14db4b34cc8fbbb7,13,3,10,0.2308,0.0818,0.5026,INSUFFICIENT
EXACT,dc2ce39b94cbbb38,37f2032236fb6baf,13,4,9,0.3077,0.1268,0.5763,INSUFFICIENT
EXACT,dc2ce39b94cbbb38,0eb1f4f9633c4cd0,13,10,3,0.7692,0.4974,0.9182,INSUFFICIENT
EXACT,b20e3e96100a11d5,dc2ce39b94cbbb38,12,7,5,0.5833,0.3195,0.8067,INSUFFICIENT
EXACT,0d18cb26af1f820a,dc2ce39b94cbbb38,12,6,6,0.5,0.2538,0.7462,INSUFFICIENT
EXACT,fcac695071c3f3cf,1e1aceae4b6358f6,11,4,7,0.3636,0.1517,0.6462,INSUFFICIENT
EXACT,58c4d89cf8edc355,fcac695071c3f3cf,11,11,0,1.0,0.7412,1.0,INSUFFICIENT
EXACT,b20e3e96100a11d5,e34dae96b1984485,11,6,5,0.5455,0.2801,0.7873,INSUFFICIENT
EXACT,fb6d7f5767de6f81,dc2ce39b94cbbb38,11,5,6,0.4545,0.2127,0.7199,INSUFFICIENT
EXACT,b20e3e96100a11d5,b43a53d96da0f0b5,10,7,3,0.7,0.3968,0.8922,INSUFFICIENT
EXACT,fcac695071c3f3cf,61f90c30a060ef40,10,6,4,0.6,0.3127,0.8318,INSUFFICIENT
EXACT,dc2ce39b94cbbb38,2603936f8d49f47b,10,4,6,0.4,0.1682,0.6873,INSUFFICIENT
EXACT,b20e3e96100a11d5,3fc2cb03df5b2747,10,6,4,0.6,0.3127,0.8318,INSUFFICIENT
EXACT,d83b61b3461e6f3d,dc2ce39b94cbbb38,10,10,0,1.0,0.7225,1.0,INSUFFICIENT
EXACT,2603936f8d49f47b,fcac695071c3f3cf,10,4,6,0.4,0.1682,0.6873,INSUFFICIENT
EXACT,14db4b34cc8fbbb7,e34dae96b1984485,9,1,8,0.1111,0.0199,0.435,INSUFFICIENT
EXACT,1e1aceae4b6358f6,dc2ce39b94cbbb38,9,3,6,0.3333,0.1206,0.6458,INSUFFICIENT
EXACT,cf54338b6b99acc3,6c534f1524e51c74,8,5,3,0.625,0.3057,0.8632,INSUFFICIENT
EXACT,0eb1f4f9633c4cd0,fcac695071c3f3cf,8,7,1,0.875,0.5291,0.9776,INSUFFICIENT
EXACT,b20e3e96100a11d5,910dcaefeb77a2f0,8,3,5,0.375,0.1368,0.6943,INSUFFICIENT
EXACT,b20e3e96100a11d5,14db4b34cc8fbbb7,8,2,6,0.25,0.0715,0.5907,INSUFFICIENT
EXACT,dc2ce39b94cbbb38,f68ccef625779ef7,8,2,6,0.25,0.0715,0.5907,INSUFFICIENT
EXACT,dc2ce39b94cbbb38,4d503cd6c360c028,8,4,4,0.5,0.2152,0.7848,INSUFFICIENT
EXACT,2b38095c5eca59f6,fcac695071c3f3cf,8,4,4,0.5,0.2152,0.7848,INSUFFICIENT
EXACT,fcac695071c3f3cf,058f82abd5449e39,8,1,7,0.125,0.0224,0.4709,INSUFFICIENT
EXACT,e34dae96b1984485,831fd3a04060c7c2,7,6,1,0.8571,0.4869,0.9743,INSUFFICIENT
EXACT,fcac695071c3f3cf,3fc2cb03df5b2747,7,4,3,0.5714,0.2505,0.8418,INSUFFICIENT
EXACT,3fc2cb03df5b2747,37f2032236fb6baf,7,6,1,0.8571,0.4869,0.9743,INSUFFICIENT
EXACT,dc2ce39b94cbbb38,61c5f1394e265863,7,2,5,0.2857,0.0822,0.6411,INSUFFICIENT
EXACT,fcac695071c3f3cf,219bb78661ad6ccd,7,1,6,0.1429,0.0257,0.5131,INSUFFICIENT
EXACT,dc2ce39b94cbbb38,7d6f431b88be3307,7,4,3,0.5714,0.2505,0.8418,INSUFFICIENT
EXACT,c1bdf4d2201556a3,dc2ce39b94cbbb38,7,3,4,0.4286,0.1582,0.7495,INSUFFICIENT
EXACT,e34dae96b1984485,37f2032236fb6baf,7,4,3,0.5714,0.2505,0.8418,INSUFFICIENT
EXACT,dc2ce39b94cbbb38,888826866a5bccdd,7,2,5,0.2857,0.0822,0.6411,INSUFFICIENT
EXACT,b43a53d96da0f0b5,aa2398e69a3549ad,6,4,2,0.6667,0.3,0.9032,INSUFFICIENT
EXACT,b43a53d96da0f0b5,831fd3a04060c7c2,6,1,5,0.1667,0.0301,0.5635,INSUFFICIENT
EXACT,37f2032236fb6baf,b43a53d96da0f0b5,6,2,4,0.3333,0.0968,0.7,INSUFFICIENT
EXACT,37f2032236fb6baf,14db4b34cc8fbbb7,6,3,3,0.5,0.1876,0.8124,INSUFFICIENT
EXACT,58c4d89cf8edc355,2603936f8d49f47b,6,1,5,0.1667,0.0301,0.5635,INSUFFICIENT
EXACT,fcac695071c3f3cf,13ea47d998aa99fa,6,6,0,1.0,0.6097,1.0,INSUFFICIENT
EXACT,fb6542fd45093b86,19a01ac1cebb1e8b,6,5,1,0.8333,0.4365,0.9699,INSUFFICIENT
EXACT,ffb78ce042dc36d9,dc2ce39b94cbbb38,6,6,0,1.0,0.6097,1.0,INSUFFICIENT
EXACT,dc2ce39b94cbbb38,1a6bef5759001c56,6,5,1,0.8333,0.4365,0.9699,INSUFFICIENT
EXACT,102b0ac263351177,dc2ce39b94cbbb38,6,4,2,0.6667,0.3,0.9032,INSUFFICIENT
EXACT,07ab87cf5acd3608,dc2ce39b94cbbb38,6,5,1,0.8333,0.4365,0.9699,INSUFFICIENT
EXACT,eb1222900df9baf0,fb6542fd45093b86,6,6,0,1.0,0.6097,1.0,INSUFFICIENT
EXACT,cf54338b6b99acc3,2b3108749e2032d7,5,1,4,0.2,0.0362,0.6245,INSUFFICIENT
EXACT,59aefb1a7dfb20a9,6c534f1524e51c74,5,3,2,0.6,0.2307,0.8824,INSUFFICIENT
EXACT,4a256a933ac66a7b,6c534f1524e51c74,5,4,1,0.8,0.3755,0.9638,INSUFFICIENT
EXACT,831fd3a04060c7c2,69252ea384766495,5,4,1,0.8,0.3755,0.9638,INSUFFICIENT
EXACT,58c4d89cf8edc355,b43a53d96da0f0b5,5,3,2,0.6,0.2307,0.8824,INSUFFICIENT
EXACT,b20e3e96100a11d5,831fd3a04060c7c2,5,3,2,0.6,0.2307,0.8824,INSUFFICIENT
EXACT,fcac695071c3f3cf,d19dd275a0b6998b,5,2,3,0.4,0.1176,0.7693,INSUFFICIENT
EXACT,b43a53d96da0f0b5,2603936f8d49f47b,5,4,1,0.8,0.3755,0.9638,INSUFFICIENT
EXACT,3371c6e0d2105401,b20e3e96100a11d5,5,2,3,0.4,0.1176,0.7693,INSUFFICIENT
EXACT,156485fe400622e4,b20e3e96100a11d5,5,4,1,0.8,0.3755,0.9638,INSUFFICIENT
EXACT,5ef1f4c673271c4f,fcac695071c3f3cf,5,2,3,0.4,0.1176,0.7693,INSUFFICIENT
EXACT,61f90c30a060ef40,58c4d89cf8edc355,5,1,4,0.2,0.0362,0.6245,INSUFFICIENT
EXACT,b43a53d96da0f0b5,fb6542fd45093b86,5,3,2,0.6,0.2307,0.8824,INSUFFICIENT
EXACT,dc2ce39b94cbbb38,abf375974152bc4e,5,1,4,0.2,0.0362,0.6245,INSUFFICIENT
EXACT,e34dae96b1984485,058f82abd5449e39,5,4,1,0.8,0.3755,0.9638,INSUFFICIENT
EXACT,0d18cb26af1f820a,b43a53d96da0f0b5,5,2,3,0.4,0.1176,0.7693,INSUFFICIENT
EXACT,fb6d7f5767de6f81,fcac695071c3f3cf,5,4,1,0.8,0.3755,0.9638,INSUFFICIENT
EXACT,fcac695071c3f3cf,eb1222900df9baf0,5,1,4,0.2,0.0362,0.6245,INSUFFICIENT
EXACT,910dcaefeb77a2f0,37f2032236fb6baf,5,3,2,0.6,0.2307,0.8824,INSUFFICIENT
EXACT,910dcaefeb77a2f0,fcac695071c3f3cf,5,4,1,0.8,0.3755,0.9638,INSUFFICIENT
EXACT,5ef1f4c673271c4f,b20e3e96100a11d5,5,4,1,0.8,0.3755,0.9638,INSUFFICIENT
EXACT,fcac695071c3f3cf,d83b61b3461e6f3d,5,5,0,1.0,0.5655,1.0,INSUFFICIENT
EXACT,dc2ce39b94cbbb38,de141cdc55266782,5,3,2,0.6,0.2307,0.8824,INSUFFICIENT
EXACT,19a01ac1cebb1e8b,fcac695071c3f3cf,5,2,3,0.4,0.1176,0.7693,INSUFFICIENT
EXACT,c9d8794e26a87fa3,831fd3a04060c7c2,4,3,1,0.75,0.3006,0.9544,INSUFFICIENT
EXACT,cf54338b6b99acc3,4a256a933ac66a7b,4,4,0,1.0,0.5101,1.0,INSUFFICIENT
EXACT,cf54338b6b99acc3,59138a345c6b933a,4,0,4,0.0,0.0,0.4899,INSUFFICIENT
EXACT,831fd3a04060c7c2,478924c6d1995606,4,2,2,0.5,0.15,0.85,INSUFFICIENT
EXACT,b43a53d96da0f0b5,910dcaefeb77a2f0,4,1,3,0.25,0.0456,0.6994,INSUFFICIENT
EXACT,831fd3a04060c7c2,910dcaefeb77a2f0,4,3,1,0.75,0.3006,0.9544,INSUFFICIENT
EXACT,14db4b34cc8fbbb7,219bb78661ad6ccd,4,3,1,0.75,0.3006,0.9544,INSUFFICIENT
EXACT,bd0509fb088518b1,fcac695071c3f3cf,4,2,2,0.5,0.15,0.85,INSUFFICIENT
EXACT,58c4d89cf8edc355,37f2032236fb6baf,4,1,3,0.25,0.0456,0.6994,INSUFFICIENT
EXACT,c9d8794e26a87fa3,e34dae96b1984485,4,1,3,0.25,0.0456,0.6994,INSUFFICIENT
EXACT,f90d43e354d19683,fcac695071c3f3cf,4,2,2,0.5,0.15,0.85,INSUFFICIENT
EXACT,f8261f22b9cd0c48,dc2ce39b94cbbb38,4,4,0,1.0,0.5101,1.0,INSUFFICIENT
EXACT,dc2ce39b94cbbb38,079a59b4e50730a5,4,2,2,0.5,0.15,0.85,INSUFFICIENT
EXACT,fb6542fd45093b86,2b38095c5eca59f6,4,4,0,1.0,0.5101,1.0,INSUFFICIENT
EXACT,fcac695071c3f3cf,3fe56fcd5e43bce7,4,2,2,0.5,0.15,0.85,INSUFFICIENT
EXACT,a7d5394d86394bcd,dc2ce39b94cbbb38,4,3,1,0.75,0.3006,0.9544,INSUFFICIENT
EXACT,e34dae96b1984485,5ef1f4c673271c4f,4,1,3,0.25,0.0456,0.6994,INSUFFICIENT
EXACT,0d18cb26af1f820a,fcac695071c3f3cf,4,3,1,0.75,0.3006,0.9544,INSUFFICIENT
EXACT,dc2ce39b94cbbb38,89c3e2c479a23d14,4,2,2,0.5,0.15,0.85,INSUFFICIENT
EXACT,a6449dd6b7ace502,dc2ce39b94cbbb38,4,4,0,1.0,0.5101,1.0,INSUFFICIENT
EXACT,b78aa05e94236e10,fcac695071c3f3cf,4,3,1,0.75,0.3006,0.9544,INSUFFICIENT
EXACT,fcac695071c3f3cf,f1b53d2f908f682e,4,3,1,0.75,0.3006,0.9544,INSUFFICIENT
EXACT,eb1222900df9baf0,89c3e2c479a23d14,4,4,0,1.0,0.5101,1.0,INSUFFICIENT
EXACT,b43a53d96da0f0b5,61f90c30a060ef40,4,4,0,1.0,0.5101,1.0,INSUFFICIENT
EXACT,b20e3e96100a11d5,1e1aceae4b6358f6,4,2,2,0.5,0.15,0.85,INSUFFICIENT
EXACT,478924c6d1995606,b20e3e96100a11d5,4,0,4,0.0,0.0,0.4899,INSUFFICIENT
EXACT,b20e3e96100a11d5,61f90c30a060ef40,4,2,2,0.5,0.15,0.85,INSUFFICIENT
EXACT,a60edec4f2dfc3e5,fcac695071c3f3cf,4,4,0,1.0,0.5101,1.0,INSUFFICIENT
EXACT,58c4d89cf8edc355,e34dae96b1984485,4,2,2,0.5,0.15,0.85,INSUFFICIENT
EXACT,fcac695071c3f3cf,6f38a6915ee11a29,4,1,3,0.25,0.0456,0.6994,INSUFFICIENT
EXACT,fcac695071c3f3cf,ffb78ce042dc36d9,4,1,3,0.25,0.0456,0.6994,INSUFFICIENT
EXACT,17e0e94afdf4984b,dc2ce39b94cbbb38,4,2,2,0.5,0.15,0.85,INSUFFICIENT
EXACT,b43a53d96da0f0b5,f1b53d2f908f682e,4,3,1,0.75,0.3006,0.9544,INSUFFICIENT
EXACT,19a01ac1cebb1e8b,2b38095c5eca59f6,4,3,1,0.75,0.3006,0.9544,INSUFFICIENT
EXACT,4a256a933ac66a7b,6948b9208b17fad2,3,0,3,0.0,0.0,0.5615,INSUFFICIENT
EXACT,bf4fd9046cb2d210,b43a53d96da0f0b5,3,2,1,0.6667,0.2077,0.9385,INSUFFICIENT
EXACT,aa2398e69a3549ad,4a256a933ac66a7b,3,0,3,0.0,0.0,0.5615,INSUFFICIENT
EXACT,b43a53d96da0f0b5,c9d8794e26a87fa3,3,1,2,0.3333,0.0615,0.7923,INSUFFICIENT
EXACT,4a256a933ac66a7b,64e146b2133f7b99,3,3,0,1.0,0.4385,1.0,INSUFFICIENT
EXACT,2b3108749e2032d7,831fd3a04060c7c2,3,0,3,0.0,0.0,0.5615,INSUFFICIENT
EXACT,b43a53d96da0f0b5,0065b4cfff358aba,3,2,1,0.6667,0.2077,0.9385,INSUFFICIENT
EXACT,b166b6b93aa1670b,2b3108749e2032d7,3,0,3,0.0,0.0,0.5615,INSUFFICIENT
EXACT,d9614beda9774552,831fd3a04060c7c2,3,3,0,1.0,0.4385,1.0,INSUFFICIENT
EXACT,478924c6d1995606,910dcaefeb77a2f0,3,1,2,0.3333,0.0615,0.7923,INSUFFICIENT
EXACT,478924c6d1995606,fcac695071c3f3cf,3,1,2,0.3333,0.0615,0.7923,INSUFFICIENT
EXACT,f90d43e354d19683,b20e3e96100a11d5,3,2,1,0.6667,0.2077,0.9385,INSUFFICIENT
